[16 Dec 2025 09:49:54,376 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:49:54,438 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:49:54,441 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:49:54,612 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:49:54,626 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3303 ms
[16 Dec 2025 09:49:57,227 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:50:43,982 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:50:44,007 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:50:44,007 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:50:44,076 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:50:44,078 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2716 ms
[16 Dec 2025 09:50:46,009 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:51:22,346 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:51:22,375 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:51:22,376 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:51:22,459 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:51:22,462 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2652 ms
[16 Dec 2025 09:51:23,923 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:53:10,147 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:53:10,190 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:53:10,191 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:53:10,365 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:53:10,379 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3143 ms
[16 Dec 2025 09:53:12,915 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:54:01,676 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:54:01,699 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:54:01,699 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:54:01,839 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:54:01,855 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2532 ms
[16 Dec 2025 09:54:03,333 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:55:47,970 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:55:47,991 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:55:47,991 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:55:48,086 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:55:48,091 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2845 ms
[16 Dec 2025 09:55:49,947 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:58:49,864 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:58:49,902 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:58:49,902 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:58:49,996 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:58:49,998 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3269 ms
[16 Dec 2025 09:58:51,977 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 11:40:47,035 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 11:40:47,065 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 11:40:47,066 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 11:40:47,182 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 11:40:47,189 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3279 ms
[16 Dec 2025 11:40:49,013 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 16:13:01,974 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 16:13:02,010 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 16:13:02,010 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 16:13:02,135 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 16:13:02,141 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3545 ms
[16 Dec 2025 16:13:04,890 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 19:09:39,573 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 19:09:39,601 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
